kind,point_index,minor_r_m,major_r_m,z_m
wall,36,1.4141710869e-01,1.9914171087e+00,9.6037277405e-01
wall,37,1.1991582348e-01,1.9699158235e+00,9.7287421086e-01
wall,38,9.8380836671e-02,1.9483808367e+00,9.8433386961e-01
wall,39,7.6841468964e-02,1.9268414690e+00,9.9473947899e-01
wall,40,5.5326262596e-02,1.9053262626e+00,1.0040798964e+00
wall,41,3.3862936062e-02,1.8838629361e+00,1.0123451200e+00
wall,42,1.2478343890e-02,1.8624783439e+00,1.0195262990e+00
wall,43,-8.8015585708e-03,1.8411984414e+00,1.0256157437e+00
wall,44,-2.9951745385e-02,1.8200482546e+00,1.0306069334e+00
wall,45,-5.0948145353e-02,1.7990518546e+00,1.0344945234e+00
wall,46,-7.1767662525e-02,1.7782323375e+00,1.0372743507e+00
wall,47,-9.2388192016e-02,1.7576118080e+00,1.0389434387e+00
wall,48,-1.1278863126e-01,1.7372113687e+00,1.0395000000e+00
wall,49,-1.3294888685e-01,1.7170511131e+00,1.0389434387e+00
wall,50,-1.5284987718e-01,1.6971501228e+00,1.0372743507e+00
wall,51,-1.7247353099e-01,1.6775264690e+00,1.0344945234e+00
wall,52,-1.9180278208e-01,1.6581972179e+00,1.0306069334e+00
wall,53,-2.1082156040e-01,1.6391784396e+00,1.0256157437e+00
wall,54,-2.2951477974e-01,1.6204852203e+00,1.0195262990e+00
wall,55,-2.4786832212e-01,1.6021316779e+00,1.0123451200e+00
wall,56,-2.6586901935e-01,1.5841309806e+00,1.0040798964e+00
wall,57,-2.8350463175e-01,1.5664953683e+00,9.9473947899e-01
wall,58,-3.0076382442e-01,1.5492361756e+00,9.8433386961e-01
wall,59,-3.1763614122e-01,1.5323638588e+00,9.7287421086e-01
wall,60,-3.3411197675e-01,1.5158880232e+00,9.6037277405e-01
wall,61,-3.5018254648e-01,1.4998174535e+00,9.4684294601e-01
wall,62,-3.6583985534e-01,1.4841601447e+00,9.3229921482e-01
wall,63,-3.8107666495e-01,1.4689233351e+00,9.1675715429e-01
wall,64,-3.9588645967e-01,1.4541135403e+00,9.0023340723e-01
wall,65,-4.1026341185e-01,1.4397365882e+00,8.8274566770e-01
