r_m,z_m,major_r_m,psi_norm,psi_wb,br_t,bz_t,bphi_t,b_total_t,density_1e19_m3,pressure_pa,temperature_kev,j_phi_a_m2,inside_closed_surface
-8.0250000000e-01,8.4493026316e-01,1.0475000000e+00,1.2043926913e+00,2.5637930918e-01,-7.3632512899e-03,4.8656622141e-03,5.2983293556e+00,5.2983367062e+00,2.0869442052e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,8.7263289474e-01,1.0475000000e+00,1.2049626208e+00,2.5650063019e-01,-8.7948312988e-04,4.6543900543e-03,5.2983293556e+00,5.2983314730e+00,2.0863568305e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,9.0033552632e-01,1.0475000000e+00,1.2046324739e+00,2.5643035176e-01,5.8357020915e-03,4.4447746381e-03,5.2983293556e+00,5.2983344338e+00,2.0866972363e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,9.2803815789e-01,1.0475000000e+00,1.2033715727e+00,2.5616194347e-01,1.2769310128e-02,4.2351350188e-03,5.2983293556e+00,5.2983464356e+00,2.0879934278e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,9.5574078947e-01,1.0475000000e+00,1.2011510442e+00,2.5568925914e-01,1.9905851410e-02,4.0224504297e-03,5.2983293556e+00,5.2983682756e+00,2.0902610544e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,9.8344342105e-01,1.0475000000e+00,1.1979444336e+00,2.5500666731e-01,2.7223029002e-02,3.8020016783e-03,5.2983293556e+00,5.2984006558e+00,2.0935015706e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.0111460526e+00,1.0475000000e+00,1.1937289470e+00,2.5410931585e-01,3.4687294474e-02,3.5671580784e-03,5.2983293556e+00,5.2984441012e+00,2.0976997209e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.0388486842e+00,1.0475000000e+00,1.1884872762e+00,2.5299352034e-01,4.2250406599e-02,3.3093602316e-03,5.2983293556e+00,5.2984988449e+00,2.1028205233e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.0665513158e+00,1.0475000000e+00,1.1822097797e+00,2.5165722844e-01,4.9848372655e-02,3.0182712310e-03,5.2983293556e+00,5.2985647048e+00,2.1088061770e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.0942539474e+00,1.0475000000e+00,1.1748965965e+00,2.5010046968e-01,5.7404262775e-02,2.6819396844e-03,5.2983293556e+00,5.2986409958e+00,2.1155735474e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.1219565789e+00,1.0475000000e+00,1.1665590592e+00,2.4832565649e-01,6.4836488566e-02,2.2866083628e-03,5.2983293556e+00,5.2987265413e+00,2.1230130304e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.1496592105e+00,1.0475000000e+00,1.1572195511e+00,2.4633755354e-01,7.2074633343e-02,1.8154043035e-03,5.2983293556e+00,5.2988198695e+00,2.1309896083e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.1773618421e+00,1.0475000000e+00,1.1469086032e+00,2.4414266004e-01,7.9086903188e-02,1.2441855659e-03,5.2983293556e+00,5.2989197245e+00,2.1393467943e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.2050644737e+00,1.0475000000e+00,1.1356572670e+00,2.4174758590e-01,8.5929935002e-02,5.2997573625e-04,5.2983293556e+00,5.2990261554e+00,2.1479140032e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.2327671053e+00,1.0475000000e+00,1.1234806323e+00,2.3915554328e-01,9.2853966903e-02,-4.2236336066e-04,5.2983293556e+00,5.2991429494e+00,2.1565179931e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.2604697368e+00,1.0475000000e+00,1.1103415254e+00,2.3635861900e-01,1.0057716595e-01,-1.8676854564e-03,5.2983293556e+00,5.2992842172e+00,2.1650002599e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.2881723684e+00,1.0475000000e+00,1.0960592347e+00,2.3331834497e-01,1.2086655673e-01,-4.6211977337e-03,5.2983293556e+00,5.2997098072e+00,2.1732472138e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-8.0250000000e-01,1.3158750000e+00,1.0475000000e+00,1.0773884204e+00,2.2934388506e-01,1.5305931893e-01,2.3866897243e-02,5.2983293556e+00,5.3005934332e+00,2.1824463755e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-7.7989436620e-01,-1.3158750000e+00,1.0701056338e+00,1.0795829512e+00,2.2981103525e-01,-1.2616546657e-01,2.3093378492e-02,5.1864038696e+00,5.1879896036e+00,2.1814601293e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-7.7989436620e-01,-1.2881723684e+00,1.0701056338e+00,1.0961921007e+00,2.3334662817e-01,-1.1236539409e-01,4.5111609638e-03,5.1864038696e+00,5.1876229075e+00,2.1731752618e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-7.7989436620e-01,-1.2604697368e+00,1.0701056338e+00,1.1108794237e+00,2.3647312151e-01,-1.0077188412e-01,1.8335596140e-03,5.1864038696e+00,5.1873831006e+00,2.1646696636e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
-7.7989436620e-01,-1.2327671053e+00,1.0701056338e+00,1.1242595010e+00,2.3932134121e-01,-9.2112049169e-02,4.4166523462e-04,5.1864038696e+00,5.1872217923e+00,2.1559888104e-01,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0
