kind,index,major_r_m,z_m,psi_norm,description
limiter,63,1.5306159993036843,0.8139120129409146,,machine limiter
limiter,64,1.5173140226669695,0.8003435473961323,,machine limiter
limiter,65,1.5043848367924892,0.7859180539343781,,machine limiter
limiter,66,1.4918335293415237,0.7706509797353703,,machine limiter
limiter,67,1.479664618450067,0.7545586731645599,,machine limiter
limiter,68,1.467882084241491,0.7376583662668909,,machine limiter
limiter,69,1.456489400640072,0.7199681563142961,,machine limiter
limiter,70,1.4454895673304797,0.7015069864266839,,machine limiter
limiter,71,1.4348851417162254,0.6822946252871722,,machine limiter
limiter,72,1.424678270738085,0.662351645973286,,machine limiter
limiter,73,1.4148707224216759,0.6416994039267919,,machine limiter
limiter,74,1.4054639170314969,0.6203600140857559,,machine limiter
limiter,75,1.3964589577168551,0.5983563272033126,,machine limiter
limiter,76,1.387856660543094,0.5757119053785086,,machine limiter
limiter,77,1.3796575838093759,0.5524509968254142,,machine limiter
limiter,78,1.3718620565619077,0.5285985099075304,,machine limiter
limiter,79,1.3644702062188776,0.5041799864652893,,machine limiter
limiter,80,1.357481985230484,0.479221574465209,,machine limiter
limiter,81,1.3508971967042371,0.45375000000000026,,machine limiter
limiter,82,1.3447155189321771,0.42779253866959305,,machine limiter
limiter,83,1.338936528762788,0.401376986373744,,machine limiter
limiter,84,1.3335597237661379,0.3745316295474885,,machine limiter
limiter,85,1.328584543146195,0.3472852148713191,,machine limiter
limiter,86,1.3240103873592899,0.31966691848851975,,machine limiter
limiter,87,1.3198366364023826,0.29170631476261927,,machine limiter
limiter,88,1.3160626667391027,0.26343334460842494,,machine limiter
limiter,89,1.3126878668355133,0.23487828343053782,,machine limiter
limiter,90,1.3097116512811957,0.20607170870369415,,machine limiter
limiter,91,1.3071334734745788,0.1770444672296367,,machine limiter
limiter,92,1.3049528368544994,0.14782764210558944,,machine limiter
limiter,93,1.3031693046627382,0.11845251943969717,,machine limiter
limiter,94,1.3017825082248322,0.08895055484907645,,machine limiter
limiter,95,1.3007921537387754,0.05935333977635528,,machine limiter
limiter,96,1.3001980275633738,0.029692567660762125,,machine limiter
limiter,97,1.3,1.111366970226223e-16,,machine limiter
limiter,98,1.3001980275633738,-0.029692567660761504,,machine limiter
limiter,99,1.3007921537387754,-0.05935333977635465,,machine limiter
limiter,100,1.3017825082248322,-0.08895055484907582,,machine limiter
limiter,101,1.3031693046627382,-0.11845251943969658,,machine limiter
limiter,102,1.3049528368544994,-0.1478276421055888,,machine limiter
limiter,103,1.3071334734745788,-0.17704446722963607,,machine limiter
limiter,104,1.3097116512811955,-0.2060717087036935,,machine limiter
limiter,105,1.312687866835513,-0.2348782834305372,,machine limiter
limiter,106,1.3160626667391027,-0.2634333446084244,,machine limiter
limiter,107,1.3198366364023826,-0.29170631476261866,,machine limiter
limiter,108,1.3240103873592899,-0.31966691848851914,,machine limiter
limiter,109,1.328584543146195,-0.34728521487131847,,machine limiter
limiter,110,1.3335597237661379,-0.3745316295474879,,machine limiter
limiter,111,1.3389365287627877,-0.40137698637374347,,machine limiter
limiter,112,1.344715518932177,-0.4277925386695925,,machine limiter
limiter,113,1.3508971967042367,-0.45374999999999976,,machine limiter
limiter,114,1.3574819852304838,-0.4792215744652085,,machine limiter
limiter,115,1.3644702062188774,-0.5041799864652887,,machine limiter
limiter,116,1.3718620565619077,-0.52859850990753,,machine limiter
limiter,117,1.3796575838093759,-0.5524509968254137,,machine limiter
limiter,118,1.3878566605430938,-0.575711905378508,,machine limiter
limiter,119,1.396458957716855,-0.5983563272033121,,machine limiter
limiter,120,1.4054639170314966,-0.6203600140857555,,machine limiter
limiter,121,1.4148707224216757,-0.6416994039267915,,machine limiter
limiter,122,1.424678270738085,-0.6623516459732856,,machine limiter
limiter,123,1.4348851417162254,-0.6822946252871719,,machine limiter
limiter,124,1.4454895673304795,-0.7015069864266835,,machine limiter
limiter,125,1.4564894006400717,-0.7199681563142957,,machine limiter
limiter,126,1.467882084241491,-0.7376583662668907,,machine limiter
limiter,127,1.4796646184500666,-0.7545586731645594,,machine limiter
limiter,128,1.4918335293415232,-0.77065097973537,,machine limiter
limiter,129,1.504384836792489,-0.7859180539343777,,machine limiter
limiter,130,1.517314022666969,-0.8003435473961321,,machine limiter
limiter,131,1.530615999303684,-0.8139120129409145,,machine limiter
limiter,132,1.5442850784668052,-0.8266089211159667,,machine limiter
limiter,133,1.5583149409299242,-0.8384206757539925,,machine limiter
limiter,134,1.5726986068699753,-0.8493346285322729,,machine limiter
limiter,135,1.5874284072541816,-0.8593390925168083,,machine limiter
limiter,136,1.6024959564088475,-0.8684233546769795,,machine limiter
limiter,137,1.6178921259638346,-0.8765776873573292,,machine limiter
limiter,138,1.633607020370755,-0.8837933586941802,,machine limiter
limiter,139,1.6496299541962032,-0.8900626419659314,,machine limiter
limiter,140,1.6659494313935854,-0.8953788238670276,,machine limiter
limiter,141,1.6825531267582285,-0.8997362116967328,,machine limiter
limiter,142,1.69942786977035,-0.9031301394550186,,machine limiter
limiter,143,1.716559631029029,-0.9055569728390326,,machine limiter
limiter,144,1.7339335114775054,-0.9070141131348018,,machine limiter
limiter,145,1.7515337346157969,-0.9075,,machine limiter
limiter,146,1.7693436418907407,-0.9070141131348018,,machine limiter
limiter,147,1.7873456914460677,-0.9055569728390327,,machine limiter
limiter,148,1.8055214604059096,-0.9031301394550186,,machine limiter
limiter,149,1.8238516508542781,-0.899736211696733,,machine limiter
limiter,150,1.8423160996603747,-0.8953788238670276,,machine limiter
limiter,151,1.8608937922852273,-0.8900626419659318,,machine limiter
limiter,152,1.879562880689026,-0.8837933586941804,,machine limiter
limiter,153,1.8983007054406584,-0.8765776873573295,,machine limiter
limiter,154,1.917083822111463,-0.8684233546769796,,machine limiter
limiter,155,1.9358880320140692,-0.8593390925168084,,machine limiter
limiter,156,1.954688417324538,-0.8493346285322733,,machine limiter
