kind,minor_r_m,major_r_m,z_m,psi_norm,psi_wb
lcfs,6.7489299620e-01,2.5248929962e+00,1.5236447368e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.7277624008e-01,2.5227762401e+00,1.8006710526e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.7024650035e-01,2.5202465004e+00,2.0776973684e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6728139232e-01,2.5172813923e+00,2.3547236842e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6686619718e-01,2.5168661972e+00,2.3893928205e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.6386564651e-01,2.5138656465e+00,2.6317500000e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.5995211667e-01,2.5099521167e+00,2.9087763158e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.5549872513e-01,2.5054987251e+00,3.1858026316e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.5045995599e-01,2.5004599560e+00,3.4628289474e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.4478420907e-01,2.4947842091e+00,3.7398552632e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.4426056338e-01,2.4942605634e+00,3.7638582528e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.3841261024e-01,2.4884126102e+00,4.0168815789e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.3125866912e-01,2.4812586691e+00,4.2939078947e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.2323860430e-01,2.4732386043e+00,4.5709342105e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.2165492958e-01,2.4716549296e+00,4.6226623607e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.1423126848e-01,2.4642312685e+00,4.8479605263e-01,1.0000000000e+00,2.1287019677e-01
lcfs,6.0411150924e-01,2.4541115092e+00,5.1249868421e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.9904929577e-01,2.4490492958e+00,5.2537752246e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.9270407324e-01,2.4427040732e+00,5.4020131579e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.7981291133e-01,2.4298129113e+00,5.6790394737e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.7644366197e-01,2.4264436620e+00,5.7476212011e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.6514730036e-01,2.4151473004e+00,5.9560657895e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.5383802817e-01,2.4038380282e+00,6.1496173881e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.4841174003e-01,2.3984117400e+00,6.2330921053e-01,1.0000000000e+00,2.1287019677e-01
lcfs,5.3123239437e-01,2.3812323944e+00,6.4831781507e-01,1.0000000000e+00,2.1287019677e-01
